txtkontakid;status;umur;gender;prov;produk_kes;bekerja;payday;saudara
2103-OQ11316;0;40-50 Tahun;0;JAWA TIMUR;0;1;0;-1
1911-Z763423;0;40-50 Tahun;1;JAWA BARAT;0;0;0;-1
2009-OI44920;0;40-50 Tahun;0;JAWA TIMUR;0;1;0;-1
0908-1134743;0;40-50 Tahun;0;RIAU;1;1;0;-1
2101-OP34933;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
1808-D107306;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2007-T759999;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2101-XNH7347;0;30-40 Tahun;1;JAWA BARAT;0;0;1;-1
1809-T557984;0;20-30 Tahun;1;SUMATERA UTARA;0;0;0;-1
1808-W579284;0;20-30 Tahun;1;BANTEN;0;0;1;1
2111-LL12418;0;20-30 Tahun;1;BANTEN;0;0;0;-1
2108-Q820403;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
2004-I879763;0;20-30 Tahun;1;JAWA BARAT;0;1;0;-1
2011-PQ94457;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2012-K796179;0;20-30 Tahun;1;JAMBI;0;1;0;-1
1907-W578878;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2009-CX64968;0;30-40 Tahun;1;JAWA TENGAH;0;0;0;-1
2103-PKL6916;0;30-40 Tahun;1;LAMPUNG;0;0;0;-1
1512-H289725;0;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1907-Q824602;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2008-W562197;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2102-OP45781;0;20-30 Tahun;1;BANTEN;0;0;0;-1
2101-PO72567;0;20-30 Tahun;0;JAWA TENGAH;0;0;0;-1
1411-E448850;0;50-70 Tahun;1;NUSA TENGGARA BARAT;0;0;0;-1
2001-T037495;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
1805-D270097;0;30-40 Tahun;1;DKI JAKARTA;0;1;0;-1
1903-OI43737;0;20-30 Tahun;1;BANTEN;0;1;0;-1
2010-XNH8332;0;50-70 Tahun;1;SUMATERA UTARA;0;1;0;-1
1101-1880576;0;30-40 Tahun;1;SUMATERA UTARA;0;1;0;0
2101-D096188;0;30-40 Tahun;1;JAWA TENGAH;0;1;1;-1
2103-P752698;0;20-30 Tahun;1;JAWA TENGAH;0;0;1;-1
2004-Q855367;0;20-30 Tahun;1;SULAWESI SELATAN;0;1;0;-1
2004-T047950;0;20-30 Tahun;1;BALI;0;0;1;-1
1912-OI05896;0;20-30 Tahun;1;JAWA TENGAH;0;0;0;-1
1102-1845575;0;40-50 Tahun;1;BALI;0;1;0;-1
2004-ZW54353;0;40-50 Tahun;1;SUMATERA BARAT;0;0;1;-1
2103-Q654475;0;20-30 Tahun;1;JAWA TIMUR;0;0;0;-1
2001-PW33355;0;30-40 Tahun;1;JAWA BARAT;0;0;0;-1
2011-F145209;0;20-30 Tahun;1;KEPULAUAN RIAU;0;0;0;-1
2101-I868205;0;20-30 Tahun;1;SUMATERA UTARA;0;1;0;-1
1808-D429119;0;30-40 Tahun;1;BANTEN;0;1;0;-1
1802-E467268;0;30-40 Tahun;1;BANTEN;0;1;1;-1
1907-PQ88343;0;30-40 Tahun;1;JAWA TIMUR;0;0;1;-1
1509-8880534;0;30-40 Tahun;1;BANTEN;0;1;1;0
2009-AN06377;0;30-40 Tahun;0;JAWA BARAT;1;1;0;-1
1411-F216894;1;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
1510-E156928;0;30-40 Tahun;1;JAWA BARAT;0;1;0;-1
1711-J527501;0;20-30 Tahun;1;JAWA BARAT;0;0;0;-1
2110-PA45033;1;30-40 Tahun;1;JAWA TIMUR;0;0;0;-1
2003-PW10910;0;30-40 Tahun;1;BALI;0;1;0;-1
2001-Q869827;0;50-70 Tahun;1;JAWA TIMUR;0;0;0;-1
1406-1644034;0;30-40 Tahun;1;DKI JAKARTA;0;1;1;-1
2103-PRT4042;0;30-40 Tahun;0;BALI;0;1;0;-1
1606-E449833;0;40-50 Tahun;1;JAWA TENGAH;0;0;1;-1
