Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,21250.000000,21250.000000,21250.000000,21250.000000,17569.158203,0
2017-01-03,21200.000000,21200.000000,20575.000000,21000.000000,17362.462891,2865600
2017-01-04,21025.000000,21425.000000,20900.000000,21400.000000,17693.173828,2615000
2017-01-05,20900.000000,22075.000000,20900.000000,21975.000000,18168.574219,3816300
2017-01-06,21800.000000,22125.000000,21600.000000,21700.000000,17941.208984,1652600
2017-01-09,22200.000000,22200.000000,21700.000000,21900.000000,18106.568359,2823600
2017-01-10,21500.000000,22025.000000,21400.000000,21950.000000,18147.904297,2445700
2017-01-11,22000.000000,22000.000000,21600.000000,21800.000000,18023.888672,1592100
2017-01-12,21700.000000,21700.000000,21225.000000,21225.000000,17548.486328,2319300
2017-01-13,21500.000000,22100.000000,21325.000000,21925.000000,18127.236328,4668300
2017-01-16,21525.000000,21975.000000,21525.000000,21550.000000,17817.193359,1287400
2017-01-17,21400.000000,21600.000000,21375.000000,21400.000000,17693.173828,698200
2017-01-18,21650.000000,21700.000000,21575.000000,21700.000000,17941.208984,1549500
2017-01-19,21700.000000,21775.000000,21675.000000,21775.000000,18003.218750,4317400
2017-01-20,21700.000000,22250.000000,21500.000000,22000.000000,18189.246094,2241000
2017-01-23,22200.000000,22200.000000,21500.000000,21975.000000,18168.574219,2533500
2017-01-24,22200.000000,22850.000000,22125.000000,22800.000000,18850.671875,7806300
2017-01-25,22900.000000,22900.000000,22475.000000,22625.000000,18705.982422,3654400
2017-01-26,22800.000000,22975.000000,22675.000000,22900.000000,18933.349609,3925700
2017-01-27,22975.000000,22975.000000,22275.000000,22600.000000,18685.310547,1268400
2017-01-30,22975.000000,22975.000000,22350.000000,22375.000000,18499.289063,893700
2017-01-31,21850.000000,22625.000000,21850.000000,21850.000000,18065.226563,2047000
2017-02-01,22075.000000,22700.000000,22075.000000,22300.000000,18437.277344,3418700
2017-02-02,22400.000000,22625.000000,22350.000000,22600.000000,18685.310547,3861000
2017-02-03,22725.000000,23025.000000,22700.000000,23000.000000,19016.029297,8766300
2017-02-06,23000.000000,23250.000000,23000.000000,23075.000000,19078.037109,2216500
2017-02-07,23075.000000,23125.000000,22750.000000,23100.000000,19098.708984,3320800
2017-02-08,23075.000000,23075.000000,22925.000000,23000.000000,19016.029297,3529000
2017-02-09,23000.000000,23000.000000,22600.000000,22750.000000,18809.332031,2773700
2017-02-10,22900.000000,23400.000000,22600.000000,23000.000000,19016.029297,9565900
2017-02-13,23100.000000,23400.000000,23100.000000,23325.000000,19284.734375,3061600
2017-02-14,23075.000000,23325.000000,23000.000000,23025.000000,19036.697266,2440200
2017-02-15,23025.000000,23025.000000,23025.000000,23025.000000,19036.697266,0
2017-02-16,22775.000000,23825.000000,22775.000000,23825.000000,19698.123047,4085100
2017-02-17,23100.000000,24350.000000,22825.000000,23875.000000,19739.462891,6471200
