Periode;Aktual;;;;;
1/2/2017;21250;;;;;
1/3/2017;21000;;;;;
1/4/2017;21400;;;;;
1/5/2017;21975;;;;;
1/6/2017;21700;;;;;
1/9/2017;21900;;;;;
1/10/2017;21950;;;;;
1/11/2017;21800;;;;;
1/12/2017;21225;;;;;
1/13/2017;21925;;;;;
1/16/2017;21550;;;;;
1/17/2017;21400;;;;;
1/18/2017;21700;;;;;
1/19/2017;21775;;;;;
1/20/2017;22000;;;;;
1/23/2017;21975;;;;;
1/24/2017;22800;;;;;
1/25/2017;22625;;;;;
1/26/2017;22900;;;;;
1/27/2017;22600;;;;;
1/30/2017;22375;;;;;
1/31/2017;21850;;;;;
2/1/2017;22300;;;;;
2/2/2017;22600;;;;;
2/3/2017;23000;;;;;
2/6/2017;23075;;;;;
2/7/2017;23100;;;;;
2/8/2017;23000;;;;;
2/9/2017;22750;;;;;
2/10/2017;23000;;;;;
2/13/2017;23325;;;;;
2/14/2017;23025;;;;;
2/15/2017;23025;;;;;
2/16/2017;23825;;;;;
2/17/2017;23875;;;;;
2/20/2017;24425;;;;;
2/21/2017;24475;;;;;
2/22/2017;24375;;;;;
2/23/2017;24650;;;;;
2/24/2017;25500;;;;;
2/27/2017;24925;;;;;
2/28/2017;24650;;;;;
3/1/2017;23900;;;;;
3/2/2017;25075;;;;;
3/3/2017;25100;;;;;
3/6/2017;26200;;;;;
3/7/2017;26000;;;;;
3/8/2017;25600;;;;;
3/9/2017;25900;;;;;
3/10/2017;25750;;;;;
3/13/2017;25400;;;;;
3/14/2017;25950;;;;;
3/15/2017;25350;;;;;
3/16/2017;25700;;;;;
3/17/2017;27000;;;;;
3/20/2017;26075;;;;;
3/21/2017;27250;;;;;
3/22/2017;27800;;;;;
3/23/2017;27600;;;;;
3/24/2017;27775;;;;;
3/27/2017;27150;;;;;
3/29/2017;27850;;;;;
3/30/2017;27850;;;;;
3/31/2017;26500;;;;;
4/3/2017;27825;;;;;
4/4/2017;29150;;;;;
4/5/2017;29150;;;;;
4/6/2017;29000;;;;;
4/7/2017;28700;;;;;
4/10/2017;28600;;;;;
4/11/2017;29000;;;;;
4/12/2017;29000;;;;;
4/13/2017;28150;;;;;
4/17/2017;27225;;;;;
4/18/2017;27850;;;;;
4/19/2017;27850;;;;;
4/20/2017;27400;;;;;
4/21/2017;26925;;;;;
4/25/2017;26600;;;;;
4/26/2017;27900;;;;;
4/27/2017;27250;;;;;
4/28/2017;26900;;;;;
5/2/2017;26000;;;;;
5/3/2017;25900;;;;;
5/4/2017;25050;;;;;
5/5/2017;25050;;;;;
5/8/2017;25900;;;;;
5/9/2017;25500;;;;;
5/10/2017;25050;;;;;
5/12/2017;24375;;;;;
5/15/2017;24550;;;;;
5/16/2017;23825;;;;;
5/17/2017;23100;;;;;
5/18/2017;23450;;;;;
5/19/2017;24150;;;;;
5/22/2017;24400;;;;;
5/23/2017;24600;;;;;
5/24/2017;24100;;;;;
5/26/2017;24575;;;;;
5/29/2017;26025;;;;;
5/30/2017;27075;;;;;
5/31/2017;27775;;;;;
6/1/2017;27775;;;;;
6/2/2017;26550;;;;;
6/5/2017;26550;;;;;
6/6/2017;26950;;;;;
6/7/2017;27150;;;;;
6/8/2017;27200;;;;;
6/9/2017;26500;;;;;
6/12/2017;27075;;;;;
6/13/2017;27325;;;;;
6/14/2017;27700;;;;;
6/15/2017;27475;;;;;
6/16/2017;26500;;;;;
6/19/2017;26450;;;;;
6/20/2017;27000;;;;;
6/21/2017;27200;;;;;
6/22/2017;27450;;;;;
6/23/2017;27450;;;;;
6/26/2017;27450;;;;;
6/27/2017;27450;;;;;
6/28/2017;27450;;;;;
6/29/2017;27450;;;;;
6/30/2017;27450;;;;;
7/3/2017;28850;;;;;
7/4/2017;28500;;;;;
7/5/2017;27825;;;;;
7/6/2017;28100;;;;;
7/7/2017;27200;;;;;
7/10/2017;27625;;;;;
7/11/2017;27975;;;;;
7/12/2017;27925;;;;;
7/13/2017;28000;;;;;
7/14/2017;28000;;;;;
7/17/2017;27950;;;;;
7/18/2017;27975;;;;;
7/19/2017;28550;;;;;
7/20/2017;28850;;;;;
7/21/2017;28825;;;;;
7/24/2017;28300;;;;;
7/25/2017;28900;;;;;
7/26/2017;28850;;;;;
7/27/2017;28950;;;;;
7/28/2017;29350;;;;;
7/31/2017;30100;;;;;
8/1/2017;30500;;;;;
8/2/2017;30400;;;;;
8/3/2017;29200;;;;;
8/4/2017;29200;;;;;
8/7/2017;28700;;;;;
8/8/2017;29200;;;;;
8/9/2017;29825;;;;;
8/10/2017;30425;;;;;
8/11/2017;29600;;;;;
8/14/2017;29900;;;;;
8/15/2017;30175;;;;;
8/16/2017;29975;;;;;
8/17/2017;29975;;;;;
8/18/2017;29475;;;;;
8/21/2017;28900;;;;;
8/22/2017;29550;;;;;
8/23/2017;29500;;;;;
8/24/2017;30475;;;;;
8/25/2017;30350;;;;;
8/28/2017;30600;;;;;
8/29/2017;30600;;;;;
8/30/2017;30300;;;;;
8/31/2017;30300;;;;;
9/1/2017;30300;;;;;
9/4/2017;29700;;;;;
9/5/2017;30400;;;;;
9/6/2017;30325;;;;;
9/7/2017;31975;;;;;
9/8/2017;31600;;;;;
9/11/2017;31850;;;;;
9/12/2017;31600;;;;;
9/13/2017;30375;;;;;
9/14/2017;30000;;;;;
9/15/2017;31050;;;;;
9/18/2017;30700;;;;;
9/19/2017;31100;;;;;
9/20/2017;31975;;;;;
9/21/2017;31975;;;;;
9/22/2017;30675;;;;;
9/25/2017;30275;;;;;
9/26/2017;31000;;;;;
9/27/2017;30425;;;;;
9/28/2017;31400;;;;;
9/29/2017;32000;;;;;
10/2/2017;32100;;;;;
10/3/2017;33000;;;;;
10/4/2017;33550;;;;;
10/5/2017;32175;;;;;
10/6/2017;32525;;;;;
10/9/2017;33125;;;;;
10/10/2017;34250;;;;;
10/11/2017;34250;;;;;
10/12/2017;34700;;;;;
10/13/2017;34250;;;;;
10/16/2017;34450;;;;;
10/17/2017;34025;;;;;
10/18/2017;34900;;;;;
10/19/2017;34350;;;;;
10/20/2017;33000;;;;;
10/23/2017;32150;;;;;
10/24/2017;32050;;;;;
10/25/2017;34950;;;;;
10/26/2017;33300;;;;;
10/27/2017;32675;;;;;
10/30/2017;34100;;;;;
10/31/2017;34675;;;;;
11/1/2017;36250;;;;;
11/2/2017;35500;;;;;
11/3/2017;35300;;;;;
11/6/2017;35300;;;;;
11/7/2017;35775;;;;;
11/8/2017;34250;;;;;
11/9/2017;34100;;;;;
11/10/2017;32725;;;;;
11/13/2017;32875;;;;;
11/14/2017;33525;;;;;
11/15/2017;32700;;;;;
11/16/2017;33200;;;;;
11/17/2017;33075;;;;;
11/20/2017;32200;;;;;
11/21/2017;31575;;;;;
11/22/2017;32500;;;;;
11/23/2017;32375;;;;;
11/24/2017;31800;;;;;
11/27/2017;31800;;;;;
11/28/2017;32400;;;;;
11/29/2017;33900;;;;;
11/30/2017;33500;;;;;
12/1/2017;33500;;;;;
12/4/2017;33000;;;;;
12/5/2017;32725;;;;;
12/6/2017;32675;;;;;
12/7/2017;33000;;;;;
12/8/2017;32900;;;;;
12/11/2017;32450;;;;;
12/12/2017;32000;;;;;
12/13/2017;33100;;;;;
12/14/2017;33375;;;;;
12/15/2017;33050;;;;;
12/18/2017;33100;;;;;
12/19/2017;33400;;;;;
12/20/2017;32825;;;;;
12/21/2017;33725;;;;;
12/22/2017;34250;;;;;
12/25/2017;34250;;;;;
12/26/2017;34250;;;;;
12/27/2017;34575;;;;;
12/28/2017;34600;;;;;
12/29/2017;35400;;;;;
1/1/2018;35400;;;;;
1/2/2018;34150;;;;;
1/3/2018;33075;;;;;
1/4/2018;34000;;;;;
